u,v,x,y
# Replace the rows below with REAL measured correspondences.
# u,v are image pixels; x,y are UR base-frame coordinates in meters.
# Example format only -- do not calibrate with invented data.
120.92, 522.77, 0.18077, -0.38458
496.40, 463.07, 0.19820, -0.40283
1008.65, 499.81, 0.21819, -0.42358
1541.21, 458.54, 0.24186, -0.44364
2079.19, 465.61, 0.26331, -0.46577
2639.71, 426.74, 0.28830, -0.48626
87.42, 1228.02, 0.15137, -0.41720
525.77, 1207.60, 0.16950, -0.43298
1009.85, 1182.18, 0.19039, -0.45242
1592.65, 1142.72, 0.21611, -0.47414
2106.42, 1123.62, 0.23860, -0.49382 
2652.79, 1110.66, 0.26055, -0.51610
130.92, 1872.83, 0.12541, -0.44734
597.16, 1862.09, 0.14594, -0.46567
1063.83, 1855.92, 0.16588, -0.48293
1619.83, 1875.71, 0.18852, -0.50615
2132.88, 1846.84, 0.21111, -0.52559
2672.16, 1821.66, 0.23511, -0.54601
